City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,yelizovo,53.1873,158.3805,7.08,65,75,5.0,RU,1682994117
225,inhambane,-23.865,35.3833,22.09,81,57,2.17,MZ,1682994118
226,isangel,-19.55,169.2667,29.12,73,65,4.88,VU,1682994119
227,saint-philippe,-21.3585,55.7679,22.77,81,34,1.08,RE,1682994120
228,northam,51.0333,-4.2167,9.1,93,50,1.16,GB,1682994121
229,yokadouma,3.5167,15.05,20.24,99,100,1.18,CM,1682994123
230,kouroussa,10.65,-9.8833,25.57,62,78,2.44,GN,1682994124
231,tchibanga,-2.85,11.0333,21.81,97,100,0.56,GA,1682994125
232,vilyuchinsk,52.9306,158.4028,7.15,91,91,1.88,RU,1682994126
233,agadez,19.75,10.25,28.32,14,1,4.32,NE,1682994127
234,port elizabeth,-33.918,25.5701,14.06,96,0,2.57,ZA,1682994128
235,camana,-16.6228,-72.7111,20.06,82,2,2.64,PE,1682994129
236,ambon,-3.6954,128.1814,30.08,88,40,2.06,ID,1682994130
237,al bawiti,28.3492,28.8659,17.06,46,0,3.22,EG,1682994132
238,dapa,9.7594,126.0531,25.5,93,100,2.12,PH,1682994133
239,askoy,60.4092,5.226,3.75,93,75,1.54,NO,1682994134
240,alegrete,-29.7831,-55.7919,14.84,95,99,6.88,BR,1682994135
241,sisimiut,66.9395,-53.6735,-2.18,80,46,2.88,GL,1682994136
242,freetown,8.484,-13.2299,26.84,78,75,4.63,SL,1682994137
243,polyarnyy,69.1989,33.4478,-0.11,98,99,5.14,RU,1682994138
244,marsa alam,25.0757,34.8918,22.63,43,0,5.11,EG,1682994140
245,bathsheba,13.2167,-59.5167,27.34,78,40,4.12,BB,1682994141
246,quellon,-43.1167,-73.6167,7.14,93,20,0.51,CL,1682994142
247,illizi,26.4833,8.4667,26.89,19,72,2.86,DZ,1682994143
248,mineros,-17.1167,-63.2333,23.4,94,88,1.43,BO,1682994144
249,wenchang,30.904,118.4887,26.1,34,3,2.04,CN,1682994145
250,merizo village,13.2658,144.6691,31.31,83,89,8.81,GU,1682994146
251,lihue,21.9789,-159.3672,25.77,78,100,0.0,US,1682994148
252,okhotsk,59.3833,143.3,1.34,70,89,3.31,RU,1682994149
253,pointe aux piments,-20.0628,57.5131,24.18,81,5,2.2,MU,1682994150
254,nelson bay,-32.7167,152.15,22.22,56,0,5.81,AU,1682994151
255,bandar labuan,5.2888,115.2692,30.2,70,20,1.03,MY,1682994152
256,serhetabat,35.2799,62.3438,19.9,33,13,0.4,TM,1682994153
257,khandyga,62.6667,135.6,1.71,96,100,1.52,RU,1682994154
258,fuyuan,46.4333,127.0833,19.23,30,100,10.33,CN,1682994156
259,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,65,75,5.0,RU,1682994157
260,bahia blanca,-38.7196,-62.2724,10.46,50,0,1.34,AR,1682994158
261,ola,59.5833,151.2833,5.08,71,100,0.9,RU,1682994159
262,faya-largeau,17.9257,19.1043,28.11,11,0,4.77,TD,1682994160
263,ust-nera,64.5667,143.2,-1.04,81,100,1.78,RU,1682994161
264,santa ana,33.7456,-117.8678,16.89,67,75,6.17,US,1682994162
265,palikir - national government center,6.9248,158.1611,30.41,74,100,7.2,FM,1682994163
266,constantia,44.1833,28.65,8.38,82,1,3.34,RO,1682994165
267,talnakh,69.4865,88.3972,-11.55,77,35,1.48,RU,1682994166
268,cururupu,-1.8283,-44.8683,23.12,98,100,0.87,BR,1682993874
269,shengli,37.4564,118.4856,24.43,28,100,7.63,CN,1682994168
270,wattegama,6.7989,81.4808,25.67,83,100,0.65,LK,1682994169
271,toamasina,-18.1667,49.3833,21.0,94,40,1.03,MG,1682994170
272,tsiombe,-25.3,45.4833,16.39,69,11,1.18,MG,1682994172
273,otradnaya,44.3933,41.5206,7.98,96,100,1.49,RU,1682994173
274,weno,7.4515,151.8468,30.97,79,100,2.57,FM,1682994174
275,punta cardon,11.6581,-70.215,26.69,85,99,13.5,VE,1682994175
